original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline,original_baseline_scores,negation_baseline_scores,more_specific_baseline_scores,less_specific_baseline_scores
"Julius Caesar was assassinated because of his perceived ambition to become king, which threatened the republicanism of Rome.","Julius Caesar was not assassinated because of his perceived ambition to become king, which did not threaten the republicanism of Rome.","Julius Caesar was assassinated specifically because of his perceived ambition to become king, which threatened the republicanism of Rome and the power of the Senate, leading to a conspiracy involving at least 60 senators.",Julius Caesar was assassinated due to concerns about his ambition.,0.43200000000000005,0.5700000000000001,0.38,0.13999999999999999,"[0.6, 0.79, 0.27, 0.5, 0.0]","[0.7, 0.5, 0.45, 0.6, 0.6]","[0.0, 0.4, 1.0, 0.0, 0.5]","[0.0, 0.0, 0.5, 0.2, 0.0]"
Julius Caesar's decision to cross the Rubicon was significantly influenced by his desire for personal power and control within the Roman Republic.,Julius Caesar's decision to cross the Rubicon was not significantly influenced by his desire for personal power and control within the Roman Republic.,"Julius Caesar's decision to cross the Rubicon was significantly influenced by his desire for personal power and control within the Roman Republic, particularly in the context of his ambition to become the sole ruler of Rome.",Julius Caesar's decision to cross the Rubicon was influenced by his desire for power and control.,0.5899999999999999,0.5,0.44000000000000006,0.45599999999999996,"[0.6, 0.7, 0.4, 0.7, 0.55]","[0.55, 0.75, 1.0, 0.0, 0.2]","[0.55, 0.4, 0.75, 0.0, 0.5]","[0.73, 0.7, 0.0, 0.35, 0.5]"
Napoleon Bonaparte likely died of stomach cancer.,Napoleon Bonaparte likely did not die of stomach cancer.,Napoleon Bonaparte likely died of advanced stomach cancer diagnosed by a physician.,Napoleon Bonaparte likely died of a disease.,0.524,0.5479999999999999,0.36,0.626,"[0.8, 0.25, 0.3, 0.57, 0.7]","[0.55, 0.37, 0.3, 0.7, 0.82]","[0.5, 0.0, 0.6, 0.0, 0.7]","[0.9, 0.43, 0.6, 0.5, 0.7]"
Julius Caesar was assassinated because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control.,Julius Caesar was not assassinated because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control.,"Julius Caesar was assassinated specifically because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control, which threatened the power of the Senate and the traditional republican governance.",Julius Caesar was assassinated because of his perceived ambition.,0.37,0.302,0.49399999999999994,0.39,"[0.5, 0.35, 0.0, 0.5, 0.5]","[0.0, 0.38, 0.5, 0.0, 0.63]","[0.0, 0.57, 0.65, 0.68, 0.57]","[0.0, 0.0, 0.45, 0.75, 0.75]"
Julius Caesar was assassinated on the Ides of March primarily because of concerns among the conspirators about his increasing power and potential to establish a monarchy.,Julius Caesar was not assassinated on the Ides of March primarily because of concerns among the conspirators about his increasing power and potential to establish a monarchy.,"Julius Caesar was assassinated on the Ides of March primarily because of specific concerns among the conspirators about his increasing power and potential to establish a monarchy, which they believed would lead to the end of the Roman Republic.",Julius Caesar was assassinated on the Ides of March due to concerns among some individuals about his power.,0.246,0.36,0.41,0.46799999999999997,"[0.0, 0.55, 0.35, 0.33, 0.0]","[0.3, 0.0, 0.0, 0.8, 0.7]","[0.75, 0.3, 0.5, 0.0, 0.5]","[0.0, 0.77, 0.7, 0.0, 0.87]"
Julius Caesar was assassinated because of his perceived threat to the Roman Republic's principles of shared governance.,Julius Caesar was not assassinated because of his perceived threat to the Roman Republic's principles of shared governance.,"Julius Caesar was assassinated specifically because of his perceived threat to the Roman Republic's principles of shared governance, particularly due to his accumulation of power and declaration of himself as dictator for life.",Julius Caesar was assassinated because of his perceived threat to the Roman Republic.,0.368,0.5599999999999999,0.354,0.55,"[0.34, 0.0, 0.4, 0.5, 0.6]","[0.0, 0.8, 1.0, 0.6, 0.4]","[0.75, 0.0, 0.35, 0.67, 0.0]","[1.0, 0.5, 0.75, 0.5, 0.0]"
Julius Caesar was assassinated because of his increasing power and the threat he posed to the Republic's traditional structure.,Julius Caesar was not assassinated because of his increasing power and the threat he posed to the Republic's traditional structure.,"Julius Caesar was assassinated specifically because of his increasing power and the significant threat he posed to the Republic's traditional structure, particularly his appointment as dictator for life.",Julius Caesar was assassinated due to concerns about his power and influence.,0.53,0.7,0.434,0.44400000000000006,"[1.0, 0.7, 0.0, 0.45, 0.5]","[1.0, 0.5, 0.5, 0.85, 0.65]","[0.57, 0.25, 0.0, 0.5, 0.85]","[0.4, 0.8, 0.38, 0.34, 0.3]"
Julius Caesar was assassinated because many senators believed he was becoming too powerful and threatened the Republic.,Julius Caesar was not assassinated because many senators believed he was becoming too powerful and threatened the Republic.,Julius Caesar was assassinated because a significant majority of senators believed he was becoming too powerful and posed a direct threat to the Republic's democratic principles.,Julius Caesar was assassinated because some senators believed he was becoming too powerful.,0.29400000000000004,0.21000000000000002,0.466,0.5820000000000001,"[0.8, 0.0, 0.0, 0.67, 0.0]","[0.0, 0.75, 0.0, 0.0, 0.3]","[0.43, 0.8, 0.4, 0.3, 0.4]","[0.76, 0.0, 0.69, 0.47, 0.99]"
The assassination of Julius Caesar in 44 B.C. was primarily motivated by a group of senators who feared he was becoming too powerful and aimed to restore the Republic.,The assassination of Julius Caesar in 44 B.C. was not primarily motivated by a group of senators who feared he was becoming too powerful and did not aim to restore the Republic.,"The assassination of Julius Caesar in 44 B.C. was primarily motivated by a specific group of senators, including Brutus and Cassius, who feared he was becoming too powerful and aimed to restore the Republic to its original form as it existed before his rise.",The assassination of Julius Caesar in 44 B.C. was motivated by a group of senators who feared he was becoming too powerful.,0.32999999999999996,0.7879999999999999,0.568,0.49399999999999994,"[0.8, 0.5, 0.35, 0.0, 0.0]","[0.75, 0.8, 1.0, 0.72, 0.67]","[0.0, 0.66, 0.7, 0.73, 0.75]","[0.0, 0.5, 0.67, 0.5, 0.8]"
The Roman Empire officially ended in the West with the abdication of Romulus Augustulus in 476 AD.,The Roman Empire did not officially end in the West with the abdication of Romulus Augustulus in 476 AD.,"The Roman Empire officially ended in the West with the abdication of Romulus Augustulus in 476 AD, marking the definitive fall of Roman political authority in Italy.",The Roman Empire officially ended in the West.,0.55,0.39,0.5519999999999999,0.522,"[0.0, 0.5, 0.85, 0.4, 1.0]","[0.5, 0.7, 0.4, 0.35, 0.0]","[0.74, 0.0, 0.47, 0.75, 0.8]","[0.77, 0.5, 0.0, 0.5, 0.84]"
Cephalopods have the genetic capability to evolve complex language skills comparable to humans.,Cephalopods do not have the genetic capability to evolve complex language skills comparable to humans.,Cephalopods have the genetic capability to evolve complex language skills comparable to humans within the next 100 million years.,Cephalopods have the genetic capability to evolve complex communication skills.,0.63,0.504,0.5660000000000001,0.658,"[0.6, 0.4, 0.65, 1.0, 0.5]","[0.5, 0.0, 0.5, 0.67, 0.85]","[0.5, 0.7, 0.45, 0.4, 0.78]","[0.68, 0.7, 0.75, 0.36, 0.8]"
There exists a stable element with an atomic number greater than 130 that has not yet been discovered.,There does not exist a stable element with an atomic number greater than 130 that has not yet been discovered.,There exists a stable element with an atomic number greater than 130 that has not yet been discovered and is capable of forming compounds with other elements.,There exists an element with an atomic number greater than 130 that has not yet been discovered.,0.2,0.52,0.65,0.658,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.8, 0.3, 0.5, 0.5, 0.5]","[1.0, 0.4, 0.6, 0.8, 0.45]","[0.5, 0.8, 0.99, 1.0, 0.0]"
There exists a yet undiscovered fundamental particle that explains dark matter.,There does not exist a yet undiscovered fundamental particle that explains dark matter.,There exists a yet undiscovered fundamental particle that explains dark matter and has a mass between 10 GeV/c² and 100 GeV/c².,There exists a fundamental particle that explains dark matter.,0.592,0.6619999999999999,0.404,0.736,"[0.46, 0.6, 0.5, 0.7, 0.7]","[0.5, 0.45, 1.0, 0.87, 0.49]","[0.3, 0.5, 0.32, 0.4, 0.5]","[0.75, 0.5, 0.75, 0.88, 0.8]"
Earth-sized planets within the habitable zone of their stars commonly have magnetic fields similar in strength to that of Earth.,Earth-sized planets within the habitable zone of their stars do not commonly have magnetic fields similar in strength to that of Earth.,"Earth-sized planets within the habitable zone of their stars commonly have magnetic fields similar in strength to that of Earth, specifically within 10% of Earth's magnetic field strength.",Earth-sized planets within the habitable zone of their stars can have magnetic fields.,0.6540000000000001,0.47000000000000003,0.49000000000000005,0.37,"[0.44, 0.9, 0.8, 0.68, 0.45]","[0.55, 0.5, 0.0, 0.8, 0.5]","[0.55, 0.3, 0.8, 0.8, 0.0]","[0.5, 0.75, 0.0, 0.0, 0.6]"
"There exists a ninth planet in our solar system, beyond Neptune, influencing the orbits of distant Kuiper Belt objects.","There does not exist a ninth planet in our solar system, beyond Neptune, influencing the orbits of distant Kuiper Belt objects.","There exists a ninth planet in our solar system, beyond Neptune, that has a mass greater than five times that of Earth, influencing the orbits of distant Kuiper Belt objects.","There exists a planet in our solar system, beyond Neptune, influencing the orbits of distant Kuiper Belt objects.",0.32999999999999996,0.476,0.374,0.5,"[0.5, 0.4, 0.5, 0.25, 0.0]","[0.75, 0.8, 0.0, 0.0, 0.83]","[0.95, 0.0, 0.45, 0.47, 0.0]","[0.85, 0.5, 0.0, 0.75, 0.4]"
"There exists a small, yet undiscovered mammalian species in the Amazon rainforest that exhibits bioluminescence.","There does not exist a small, yet undiscovered mammalian species in the Amazon rainforest that exhibits bioluminescence.","There exists a small, yet undiscovered mammalian species in the Amazon rainforest that exhibits bioluminescence and has a unique mating call.",There exists a mammalian species in the Amazon rainforest that exhibits bioluminescence.,0.47800000000000004,0.518,0.458,0.32,"[0.5, 0.4, 0.44, 0.3, 0.75]","[0.65, 0.6, 0.5, 0.5, 0.34]","[0.84, 0.45, 0.5, 0.5, 0.0]","[0.0, 0.0, 0.5, 0.55, 0.55]"
There exists a species of spider that uses tools to hunt prey.,There does not exist a species of spider that uses tools to hunt prey.,There exists a species of spider that uses tools made from leaves to hunt prey.,There exists a species of spider that uses tools.,0.496,0.38,0.21400000000000002,0.19,"[0.6, 0.75, 0.63, 0.5, 0.0]","[0.4, 0.0, 0.5, 0.0, 1.0]","[0.87, 0.2, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.35, 0.6]"
There exists a population of microbial life in the subsurface oceans of Enceladus.,There does not exist a population of microbial life in the subsurface oceans of Enceladus.,There exists a diverse population of microbial life in the subsurface oceans of Enceladus that thrives in extreme conditions.,There exists microbial life in some subsurface oceans of celestial bodies.,0.38,0.6180000000000001,0.62,0.324,"[0.0, 0.5, 0.0, 1.0, 0.4]","[0.6, 0.5, 0.8, 0.36, 0.83]","[0.5, 0.5, 0.8, 0.7, 0.6]","[0.25, 0.57, 0.0, 0.8, 0.0]"
There is a genetic basis for the difference in intelligence test scores between different human populations.,There is not a genetic basis for the difference in intelligence test scores between different human populations.,"There is a significant genetic basis for the difference in intelligence test scores between different human populations, accounting for at least 50% of the variance.",There is a genetic basis for the difference in intelligence test scores among humans.,0.506,0.398,0.49800000000000005,0.368,"[0.0, 0.5, 0.5, 0.75, 0.78]","[0.44, 0.0, 0.5, 0.35, 0.7]","[0.5, 0.25, 0.74, 0.5, 0.5]","[0.0, 0.0, 0.5, 0.84, 0.5]"
Exoplanet HD 209458 b (Osiris) has a stable layer of water vapor in its atmosphere.,Exoplanet HD 209458 b (Osiris) does not have a stable layer of water vapor in its atmosphere.,Exoplanet HD 209458 b (Osiris) has a stable layer of water vapor in its atmosphere at a specific altitude of 100 kilometers.,Exoplanet HD 209458 b (Osiris) has water vapor in its atmosphere.,0.43,0.06,0.38,0.76,"[0.5, 0.85, 0.0, 0.5, 0.3]","[0.0, 0.0, 0.0, 0.0, 0.3]","[0.75, 0.4, 0.75, 0.0, 0.0]","[1.0, 0.8, 0.5, 0.5, 1.0]"
"Artificial general intelligence (AGI) will demonstrate an ability to learn and understand any intellectual task that a human being can, without requiring specific task-oriented programming.","Artificial general intelligence (AGI) will not demonstrate an ability to learn and understand any intellectual task that a human being can, without requiring specific task-oriented programming.","Artificial general intelligence (AGI) will demonstrate an ability to learn and understand any intellectual task that a human being can, without requiring specific task-oriented programming, and will do so with a level of efficiency that surpasses human capabilities.",Artificial general intelligence (AGI) will demonstrate an ability to learn and understand various intellectual tasks.,0.418,0.46799999999999997,0.666,0.674,"[0.39, 0.5, 0.5, 0.7, 0.0]","[0.5, 0.0, 0.85, 0.99, 0.0]","[0.48, 0.7, 0.75, 0.7, 0.7]","[0.7, 0.8, 0.67, 0.4, 0.8]"
"There exists a form of microbial life on Europa, one of Jupiter's moons, that utilizes an entirely novel biochemical mechanism distinct from terrestrial life.","There does not exist a form of microbial life on Europa, one of Jupiter's moons, that utilizes an entirely novel biochemical mechanism distinct from terrestrial life.","There exists a form of microbial life on Europa, one of Jupiter's moons, that utilizes an entirely novel biochemical mechanism distinct from terrestrial life and is capable of surviving in extreme radiation levels.","There exists microbial life on Europa, one of Jupiter's moons.",0.244,0.252,0.42000000000000004,0.514,"[0.0, 0.4, 0.32, 0.5, 0.0]","[0.0, 0.0, 0.0, 0.76, 0.5]","[0.15, 0.7, 1.0, 0.0, 0.25]","[0.74, 0.0, 0.5, 0.65, 0.68]"
The Higgs boson is not the only fundamental particle that provides mass to other particles.,The Higgs boson is the only fundamental particle that provides mass to other particles.,"The Higgs boson is not the only fundamental particle that provides mass to other particles, as there are at least two other undiscovered particles that also contribute to mass.",There are fundamental particles that provide mass to other particles.,0.5920000000000001,0.68,0.372,0.24,"[0.67, 0.8, 0.0, 0.8, 0.69]","[0.7, 0.4, 0.8, 0.75, 0.75]","[0.5, 0.0, 0.86, 0.0, 0.5]","[0.78, 0.0, 0.42, 0.0, 0.0]"
There is a direct causal relationship between the microbiota composition of the digestive tract and the development of Type 1 diabetes in humans.,There is not a direct causal relationship between the microbiota composition of the digestive tract and the development of Type 1 diabetes in humans.,There is a direct causal relationship between the specific microbiota composition of the digestive tract and the development of Type 1 diabetes in genetically predisposed humans.,There is a relationship between the microbiota composition of the digestive tract and the development of Type 1 diabetes in humans.,0.16,0.596,0.49000000000000005,0.5780000000000001,"[0.0, 0.5, 0.3, 0.0, 0.0]","[0.4, 0.43, 0.9, 0.75, 0.5]","[0.0, 0.7, 0.5, 0.8, 0.45]","[0.8, 0.75, 0.0, 0.84, 0.5]"
Moderate alcohol consumption has a protective effect against coronary heart disease.,Moderate alcohol consumption does not have a protective effect against coronary heart disease.,Moderate alcohol consumption has a protective effect against coronary heart disease in individuals over the age of 50.,Alcohol consumption has a protective effect against some health issues.,0.638,0.42000000000000004,0.43000000000000005,0.41400000000000003,"[0.8, 0.75, 0.0, 0.8, 0.84]","[0.0, 0.5, 0.7, 0.4, 0.5]","[0.0, 0.34, 0.5, 0.86, 0.45]","[0.0, 0.0, 0.68, 0.89, 0.5]"
Most of Pluto's subsurface ocean is composed of water with a significant concentration of ammonia.,Most of Pluto's subsurface ocean is not composed of water with a significant concentration of ammonia.,Most of Pluto's subsurface ocean is composed of water with a significant concentration of ammonia exceeding 10%.,Pluto has a subsurface ocean that contains water.,0.46799999999999997,0.44800000000000006,0.40800000000000003,0.654,"[0.5, 0.7, 0.0, 0.6, 0.54]","[0.8, 0.74, 0.0, 0.0, 0.7]","[0.7, 0.84, 0.0, 0.5, 0.0]","[0.75, 0.5, 0.45, 0.7, 0.87]"
